link,dataset_identifier,data_repository,ref_type,source_section,dataset_page,source_url,download_link,title,content_type,id,surrounding_text,description
http://bigd.big.ac.cn/gsa ,CRA001724 , ,"  Genome Sequence Archive [60] at the National Genomics Data Center, Beijing Institute of Genomics, Chinese Academy of Sciences / China National Center for Bioinformation (GSA)",data availability,http://bigd.big.ac.cn/gsa /browse/CRA001724 ,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7801210/,,,,,,
http://www.treebase.org/ , 22964 ,, TreeBASE repository ,data availability,na,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7801210/,,,,,,
http://bigd.big.ac.cn/gsahttp://www.treebase.org/, , ,"  Phylogenetic data have been deposited in the TreeBASE repository (ID: 22964), which is accessible at http://www.treebase.org/.",data availability,http://bigd.big.ac.cn/gsahttp://www.treebase.org//browse/ ,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7801210/,,,,,,
mmc1.pdf,,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7801210/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7801210/bin/mmc1.pdf,Supplementary Figure S1,local-data,m0115,"Supplementary Figure S1 Frequency distribution of 17-mers The two peak depths in  A. cylindracea  are ~51 and ~101. The first peak is a hybrid peak, which indicates high heterozygosity of  A. cylindracea . Based on the second peak, we estimated that the genome size of  A. cylindracea  is 58.2 Mb.","Frequency distribution of 17-mers The two peak depths in  A. cylindracea  are ~51 and ~101. The first peak is a hybrid peak, which indicates high heterozygosity of  A. cylindracea . Based on the second peak, we estimated that the genome size of  A. cylindracea  is 58.2 Mb."
mmc2.pdf,,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7801210/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7801210/bin/mmc2.pdf,Supplementary Figure S2,local-data,m0110,"Supplementary Figure S2 
             Mating type loci of  A. cylindracea A.  A single MAT  A  locus of genes encoding HD1 (pink box) and HD2 (green) homeodomain proteins and a MAT  B  locus of genes encoding pheromones (gray) and pheromone receptors (yellow) are positioned on different scaffolds. The blue box represents the gene encoding mitochondrial intermediate peptidase (MIP).  B.  Seven-transmembrane feature of pheromone receptors.",Mating type loci of  A. cylindracea A.  A single MAT  A  locus of genes encoding HD1 (pink box) and HD2 (green) homeodomain proteins and a MAT  B  locus of genes encoding pheromones (gray) and pheromone receptors (yellow) are positioned on different scaffolds. The blue box represents the gene encoding mitochondrial intermediate peptidase (MIP).  B.  Seven-transmembrane feature of pheromone receptors.
mmc3.pdf,,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7801210/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7801210/bin/mmc3.pdf,Supplementary Figure S3,local-data,m0105,"Supplementary Figure S3 
             Phylogenetic analysis of  A. cylindracea  and 16 Agaricales fungi based on single-copy orthologous genes. The phylogenetic tree was inferred based on RAxML from 315 orthologous proteins of the single-copy gene families.  Serpula lacrymans  serves as an outgroup. There is a close relationship between  A. cylindracea  and  A. aegerita .",Phylogenetic analysis of  A. cylindracea  and 16 Agaricales fungi based on single-copy orthologous genes. The phylogenetic tree was inferred based on RAxML from 315 orthologous proteins of the single-copy gene families.  Serpula lacrymans  serves as an outgroup. There is a close relationship between  A. cylindracea  and  A. aegerita .
mmc4.pdf,,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7801210/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7801210/bin/mmc4.pdf,Supplementary Figure S4,local-data,m0100,"Supplementary Figure S4 
             GO enrichment of  A. cylindracea -specific genes compared with  A. aegerita ,  G. marginata ,  H. cylindrosporum , and  H. sublateritium  Each circle represents a family of GO terms, and the circle size reflects the number of enrichment genes. The arrows point from parental GO terms to the filial GO terms. The darker the color is, the more significant the enrichment is.  A.  GO enrichment analysis of  A. cylindracea -specific genes compared with  A. aegerita  in the BP category.  B.  GO enrichment analysis of  A. cylindracea -specific genes compared with  A. aegerita  in MF category.  C.  GO enrichment analysis of  A. cylindracea -specific genes compared with the other four fungi in the BP category.  D.  GO enrichment analysis of  A. cylindracea -specific genes compared with the other four fungi in the MF category. BP, biological process; MF, molecular function.","GO enrichment of  A. cylindracea -specific genes compared with  A. aegerita ,  G. marginata ,  H. cylindrosporum , and  H. sublateritium  Each circle represents a family of GO terms, and the circle size reflects the number of enrichment genes. The arrows point from parental GO terms to the filial GO terms. The darker the color is, the more significant the enrichment is.  A.  GO enrichment analysis of  A. cylindracea -specific genes compared with  A. aegerita  in the BP category.  B.  GO enrichment analysis of  A. cylindracea -specific genes compared with  A. aegerita  in MF category.  C.  GO enrichment analysis of  A. cylindracea -specific genes compared with the other four fungi in the BP category.  D.  GO enrichment analysis of  A. cylindracea -specific genes compared with the other four fungi in the MF category. BP, biological process; MF, molecular function."
mmc5.pdf,,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7801210/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7801210/bin/mmc5.pdf,Supplementary Figure S5,local-data,m0095,"Supplementary Figure S5 
             Homologous genes shared among  A. cylindracea ,  A. aegerita ,  G. marginata ,  H. cylindrosporum , and  H. sublateritium  The triangle represents the total genes of  A. cylindracea . The ovals represent the shared homologous genes of  A. aegerita  (red), G. marginata (green), H. cylindrosporum (blue), and H. sublateritium (yellow) with  A. cylindracea .","Homologous genes shared among  A. cylindracea ,  A. aegerita ,  G. marginata ,  H. cylindrosporum , and  H. sublateritium  The triangle represents the total genes of  A. cylindracea . The ovals represent the shared homologous genes of  A. aegerita  (red), G. marginata (green), H. cylindrosporum (blue), and H. sublateritium (yellow) with  A. cylindracea ."
mmc6.pdf,,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7801210/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7801210/bin/mmc6.pdf,Supplementary Figure S6,local-data,m0090,"Supplementary Figure S6 
             Signal peptide ratio in  A. cylindracea  The vertical axis represents the percentage of proteins with signal peptides, and the horizontal axis represents functional proteins annotated by different databases: “All” represents all the predicted proteins in  A. cylindracea ; “CAZy” represents the carbohydrate hydrolytic enzymes in  A. cylindracea  based on the CAZy database; “MEROPS” represents the proteases in  A. cylindracea  based on the MEROPS database; “Transporter” represents the transporter-related proteins according to gene annotation in NCBI-NR database. The numbers above the columns represent the number of proteins with signal peptides in various databases.","Signal peptide ratio in  A. cylindracea  The vertical axis represents the percentage of proteins with signal peptides, and the horizontal axis represents functional proteins annotated by different databases: “All” represents all the predicted proteins in  A. cylindracea ; “CAZy” represents the carbohydrate hydrolytic enzymes in  A. cylindracea  based on the CAZy database; “MEROPS” represents the proteases in  A. cylindracea  based on the MEROPS database; “Transporter” represents the transporter-related proteins according to gene annotation in NCBI-NR database. The numbers above the columns represent the number of proteins with signal peptides in various databases."
mmc7.pdf,,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7801210/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7801210/bin/mmc7.pdf,Supplementary Figure S7,local-data,m0085,"Supplementary Figure S7 
             Consistency between biological replicates of the  A. cylindracea  transcriptomic data. Both pilei ( A, B, and  C) and stipes ( D, E, and F ) of  A. cylindracea  fruiting bodies have three biological replicates. Graphics reveal a very high consistency between biological replicates: pilei_1, pilei_2, and pilei_3 are the biological replicates of the pilei, and stipes_1, stipes_2, and stipes_3 represent the biological replicates of the stipes. FPKM represents the gene expression level. The most highly expressed gene in pilei encodes aegerolysin (Aa-Pri1), while the most highly expressed gene in stipes encodes calmodulin.","Consistency between biological replicates of the  A. cylindracea  transcriptomic data. Both pilei ( A, B, and  C) and stipes ( D, E, and F ) of  A. cylindracea  fruiting bodies have three biological replicates. Graphics reveal a very high consistency between biological replicates: pilei_1, pilei_2, and pilei_3 are the biological replicates of the pilei, and stipes_1, stipes_2, and stipes_3 represent the biological replicates of the stipes. FPKM represents the gene expression level. The most highly expressed gene in pilei encodes aegerolysin (Aa-Pri1), while the most highly expressed gene in stipes encodes calmodulin."
mmc8.xlsx,,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7801210/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7801210/bin/mmc8.xlsx,Supplementary Table S1,local-data,m0080,Supplementary Table S1,No description
mmc9.xlsx,,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7801210/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7801210/bin/mmc9.xlsx,Supplementary Table S2,local-data,m0075,Supplementary Table S2,No description
mmc10.xlsx,,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7801210/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7801210/bin/mmc10.xlsx,Supplementary Table S3,local-data,m0070,Supplementary Table S3,No description
mmc11.xlsx,,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7801210/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7801210/bin/mmc11.xlsx,Supplementary Table S4,local-data,m0065,Supplementary Table S4,No description
mmc12.xlsx,,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7801210/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7801210/bin/mmc12.xlsx,Supplementary Table S5,local-data,m0060,Supplementary Table S5,No description
mmc13.xlsx,,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7801210/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7801210/bin/mmc13.xlsx,Supplementary Table S6,local-data,m0055,Supplementary Table S6,No description
mmc14.xlsx,,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7801210/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7801210/bin/mmc14.xlsx,Supplementary Table S7,local-data,m0050,Supplementary Table S7,No description
mmc15.xlsx,,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7801210/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7801210/bin/mmc15.xlsx,Supplementary Table S8,local-data,m0045,Supplementary Table S8,No description
mmc16.xlsx,,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7801210/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7801210/bin/mmc16.xlsx,Supplementary Table S9,local-data,m0040,Supplementary Table S9,No description
mmc17.xlsx,,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7801210/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7801210/bin/mmc17.xlsx,Supplementary Table S10,local-data,m0035,Supplementary Table S10,No description
mmc18.xlsx,,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7801210/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7801210/bin/mmc18.xlsx,Supplementary Table S11,local-data,m0030,Supplementary Table S11,No description
mmc19.xlsx,,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7801210/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7801210/bin/mmc19.xlsx,Supplementary Table S12,local-data,m0025,Supplementary Table S12,No description
mmc20.xlsx,,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7801210/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7801210/bin/mmc20.xlsx,Supplementary Table S13,local-data,m0020,Supplementary Table S13,No description
mmc21.xlsx,,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7801210/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7801210/bin/mmc21.xlsx,Supplementary Table S14,local-data,m0015,Supplementary Table S14,No description
mmc22.xlsx,,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7801210/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7801210/bin/mmc22.xlsx,Supplementary Table S15,local-data,m0010,Supplementary Table S15,No description
mmc23.xlsx,,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7801210/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7801210/bin/mmc23.xlsx,Supplementary Table S16,local-data,m0005,Supplementary Table S16,No description
http://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD038214 ,PXD038214 ,69 69IPX0004428000 ,accession code,data availability,na,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9929250/,,,,,,
https://www.iprox.cn/page/project.html?id=IPX0004428000PXD038188 ,PXD038188 ,69 69IPX0004819000 ,accession code,data availability,na,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9929250/,,,,,,
https://www.iprox.cn/page/project.html?id=IPX0004819000 ,"HRA002466,HRA003612 ",restricted access ,dataset identifier,data availability,na,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9929250/,,,,,,
https://portal.gdc.cancer.gov/ ,TCGA-STAD ,  ,accession code ,data availability,na,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9929250/,,,,,,
41467_2023_35797_MOESM1_ESM.pdf,,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9929250/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9929250/bin/41467_2023_35797_MOESM1_ESM.pdf,No Title,local-data,MOESM1,Supplementary Information,Supplementary Information
41467_2023_35797_MOESM2_ESM.pdf,,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9929250/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9929250/bin/41467_2023_35797_MOESM2_ESM.pdf,No Title,local-data,MOESM2,Description of Additional Supplementary Files,Description of Additional Supplementary Files
41467_2023_35797_MOESM3_ESM.xlsx,,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9929250/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9929250/bin/41467_2023_35797_MOESM3_ESM.xlsx,No Title,local-data,MOESM3,Supplementary Data 1,Supplementary Data 1
41467_2023_35797_MOESM4_ESM.xlsx,,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9929250/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9929250/bin/41467_2023_35797_MOESM4_ESM.xlsx,No Title,local-data,MOESM4,Supplementary Data 2,Supplementary Data 2
41467_2023_35797_MOESM5_ESM.xlsx,,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9929250/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9929250/bin/41467_2023_35797_MOESM5_ESM.xlsx,No Title,local-data,MOESM5,Supplementary Data 3,Supplementary Data 3
41467_2023_35797_MOESM6_ESM.xlsx,,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9929250/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9929250/bin/41467_2023_35797_MOESM6_ESM.xlsx,No Title,local-data,MOESM6,Supplementary Data 4,Supplementary Data 4
41467_2023_35797_MOESM7_ESM.xlsx,,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9929250/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9929250/bin/41467_2023_35797_MOESM7_ESM.xlsx,No Title,local-data,MOESM7,Supplementary Data 5,Supplementary Data 5
41467_2023_35797_MOESM8_ESM.xlsx,,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9929250/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9929250/bin/41467_2023_35797_MOESM8_ESM.xlsx,No Title,local-data,MOESM8,Supplementary Data 6,Supplementary Data 6
41467_2023_35797_MOESM9_ESM.xlsx,,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9929250/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9929250/bin/41467_2023_35797_MOESM9_ESM.xlsx,No Title,local-data,MOESM9,Supplementary Data 7,Supplementary Data 7
41467_2023_35797_MOESM10_ESM.pdf,,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9929250/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9929250/bin/41467_2023_35797_MOESM10_ESM.pdf,No Title,local-data,MOESM10,Reporting Summary,Reporting Summary
links_to_dataset , ,GWAS summary statistics are available from the relevant publication ,Publication  ,data availability,na,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9017004/,,,,,,
12916_2022_2322_MOESM1_ESM.docx,,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9017004/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9017004/bin/12916_2022_2322_MOESM1_ESM.docx,No Title,local-data,MOESM1,"Additional file 1: Appendix S1.  Supplementary methods.  Appendix S2.  List of unique molecular traits identified from literature search.  Appendix S3.  PubMed search terms for literature review.  Table S4.  Additional information on GWAS, including covariates adjusted for.  Table S6.  Results of female BMI sensitivity analysis MR.  Table S7.  Results of female-specific SNP fasting insulin sensitivity analysis MR.  Table S8.  Results of female-specific SNP BMI sensitivity mediation analysis.  Table S9.  Results of female-specific SNP fasting insulin mediation analysis.  Table S10.  Results of post-hoc power analysis for MR of all molecular traits on endometrial cancer risk, and BMI on all traits confirmed to have a causal effect on endometrial cancer.  Table S11.  Conditional F-statistics with different levels of genetic correlation for SHBG and bioavailable testosterone and BMI in multivariable Mendelian randomization analyses.  Table S12.  Conditional F-statistics for fasting insulin (adjusted for BMI) and BMI with differing thresholds used to construct fasting insulin.  Table S13.  Conditional F-statistics for multivariable Mendelian randomization of BMI and mediators on endometrial cancer risk.  Table S14.  Conditional F-statistics for further multivariable Mendelian randomization analyses.  Table S15.  Sample overlap between GWAS.  Figure S17.  Leave-one-out analysis for MR examining the effect of adult BMI on overall endometrial cancer risk.  Table S18.  Results from sensitivity analyses examining the influence of Winner’s curse on GWAS with overlapping samples.  Table S19.  Results from sensitivity analyses examining the influence of Winner’s curse on GWAS with overlapping samples in analyses determining the mediating role of traits in the relationship between BMI and endometrial cancer risk.  Figure S20.  Leave-one-out analysis for MR examining the effect of adult BMI on endometrioid endometrial cancer risk.  Figure S21.  Leave-one-out analysis for MR examining the effect of adult BMI on non-endometrioid endometrial cancer risk.  Figure S22.  Leave-one-out analysis for MR examining the effect of total testosterone level on endometrial cancer risk.  Figure S23.  Leave-one-out analysis for MR examining the effect of bioavailable testosterone level on endometrial cancer risk.  Figure S24.  Leave-one-out analysis for MR examining the effect of fasting insulin level on endometrial cancer risk.  Figure S25.  Leave-one-out analysis for MR examining the effect of SHBG level on endometrial cancer risk.  Figure S26.  Leave-one-out analysis for MR examining the effect of total serum cholesterol level on endometrial cancer risk.  Table S27.  Results of female-specific SNP CRP sensitivity analysis MR.  Figure S28.  Leave-one-out analysis for MR examining the effect of total testosterone level on endometrioid endometrial cancer risk.  Figure S29.  Leave-one-out analysis for MR examining the effect of bioavailable testosterone level on endometrioid endometrial cancer risk.  Figure S30.  Leave-one-out analysis for MR examining the effect of fasting insulin level on endometrioid endometrial cancer risk.  Figure S31.  Leave-one-out analysis for MR examining the effect of SHBG level on endometrioid endometrial cancer risk.  Figure S32.  Leave-one-out analysis for MR examining the effect of adult BMI on fasting insulin level.  Figure S33.  Leave-one-out analysis for MR examining the effect of adult BMI on SHBG level.  Figure S34.  Leave-one-out analysis for MR examining the effect of adult BMI on bioavailable testosterone level.  Figure S35.  Leave-one-out analysis for MR examining the effect of adult BMI on total serum cholesterol level.  Figure S36.  Leave-one-out analysis for MR examining the effect of adult BMI on C-reactive protein level.  Table S37.  Results of multivariable MR mediation analysis examining the effect of BMI and endometrial cancer with fasting insulin as a potential mediator with BMI-adjusted fasting insulin instrument and 100 SNPs from BMI instrument.  Table S38.  Results of sensitivity analysis examining the effect of only including 100 SNPs for the BMI instrument in MR analyses.  Table S39.  Results of multivariable MR mediation analysis examining the effect of BMI and endometrial cancer with fasting insulin as a potential mediator with 100 SNPs from BMI instrument.  Table S40.  Results of multivariable MR mediation analysis examining the effect of BMI and endometrial cancer with fasting insulin as a potential mediator with BMI-adjusted fasting insulin instrument.  Table S41.  Results of multivariable MR mediation analysis examining the effect of endometrial cancer with pairs of confirmed mediating molecular traits without BMI.  Table S42.  Results of multivariable MR mediation analysis examining the effect of BMI and endometrial cancer with all confirmed mediating molecular traits with BMI-adjusted fasting insulin.  Table S43.  Results of multivariable MR mediation analysis examining the effect of BMI and endometrial cancer with pairs of confirmed mediating molecular traits.  Table S44.  Results of multivariable MR mediation analysis examining the effect of BMI and endometrial cancer with all confirmed mediating molecular traits including fasting insulin adjusted for BMI with 100 SNPs from BMI instrument.  Table S45.  Results of multivariable MR mediation analysis examining the effect of BMI and endometrial cancer with pairs of confirmed mediating molecular traits with 100 SNPs from BMI instrument.  Table S46.  Results of multivariable MR mediation analysis examining the effect of endometrial cancer with all confirmed mediating molecular traits without BMI.  Table S47.  Results from sensitivity analyses examining the influence of Winner’s curse on GWAS with overlapping samples in analyses determining the interdependent effects of mediators of the relationship between BMI and endometrial cancer risk.  Table S48.  Results of HEIDI test-filtered low-density lipoprotein (LDL) cholesterol and overall endometrial cancer MR.","Additional file 1: Appendix S1.  Supplementary methods.  Appendix S2.  List of unique molecular traits identified from literature search.  Appendix S3.  PubMed search terms for literature review.  Table S4.  Additional information on GWAS, including covariates adjusted for.  Table S6.  Results of female BMI sensitivity analysis MR.  Table S7.  Results of female-specific SNP fasting insulin sensitivity analysis MR.  Table S8.  Results of female-specific SNP BMI sensitivity mediation analysis.  Table S9.  Results of female-specific SNP fasting insulin mediation analysis.  Table S10.  Results of post-hoc power analysis for MR of all molecular traits on endometrial cancer risk, and BMI on all traits confirmed to have a causal effect on endometrial cancer.  Table S11.  Conditional F-statistics with different levels of genetic correlation for SHBG and bioavailable testosterone and BMI in multivariable Mendelian randomization analyses.  Table S12.  Conditional F-statistics for fasting insulin (adjusted for BMI) and BMI with differing thresholds used to construct fasting insulin.  Table S13.  Conditional F-statistics for multivariable Mendelian randomization of BMI and mediators on endometrial cancer risk.  Table S14.  Conditional F-statistics for further multivariable Mendelian randomization analyses.  Table S15.  Sample overlap between GWAS.  Figure S17.  Leave-one-out analysis for MR examining the effect of adult BMI on overall endometrial cancer risk.  Table S18.  Results from sensitivity analyses examining the influence of Winner’s curse on GWAS with overlapping samples.  Table S19.  Results from sensitivity analyses examining the influence of Winner’s curse on GWAS with overlapping samples in analyses determining the mediating role of traits in the relationship between BMI and endometrial cancer risk.  Figure S20.  Leave-one-out analysis for MR examining the effect of adult BMI on endometrioid endometrial cancer risk.  Figure S21.  Leave-one-out analysis for MR examining the effect of adult BMI on non-endometrioid endometrial cancer risk.  Figure S22.  Leave-one-out analysis for MR examining the effect of total testosterone level on endometrial cancer risk.  Figure S23.  Leave-one-out analysis for MR examining the effect of bioavailable testosterone level on endometrial cancer risk.  Figure S24.  Leave-one-out analysis for MR examining the effect of fasting insulin level on endometrial cancer risk.  Figure S25.  Leave-one-out analysis for MR examining the effect of SHBG level on endometrial cancer risk.  Figure S26.  Leave-one-out analysis for MR examining the effect of total serum cholesterol level on endometrial cancer risk.  Table S27.  Results of female-specific SNP CRP sensitivity analysis MR.  Figure S28.  Leave-one-out analysis for MR examining the effect of total testosterone level on endometrioid endometrial cancer risk.  Figure S29.  Leave-one-out analysis for MR examining the effect of bioavailable testosterone level on endometrioid endometrial cancer risk.  Figure S30.  Leave-one-out analysis for MR examining the effect of fasting insulin level on endometrioid endometrial cancer risk.  Figure S31.  Leave-one-out analysis for MR examining the effect of SHBG level on endometrioid endometrial cancer risk.  Figure S32.  Leave-one-out analysis for MR examining the effect of adult BMI on fasting insulin level.  Figure S33.  Leave-one-out analysis for MR examining the effect of adult BMI on SHBG level.  Figure S34.  Leave-one-out analysis for MR examining the effect of adult BMI on bioavailable testosterone level.  Figure S35.  Leave-one-out analysis for MR examining the effect of adult BMI on total serum cholesterol level.  Figure S36.  Leave-one-out analysis for MR examining the effect of adult BMI on C-reactive protein level.  Table S37.  Results of multivariable MR mediation analysis examining the effect of BMI and endometrial cancer with fasting insulin as a potential mediator with BMI-adjusted fasting insulin instrument and 100 SNPs from BMI instrument.  Table S38.  Results of sensitivity analysis examining the effect of only including 100 SNPs for the BMI instrument in MR analyses.  Table S39.  Results of multivariable MR mediation analysis examining the effect of BMI and endometrial cancer with fasting insulin as a potential mediator with 100 SNPs from BMI instrument.  Table S40.  Results of multivariable MR mediation analysis examining the effect of BMI and endometrial cancer with fasting insulin as a potential mediator with BMI-adjusted fasting insulin instrument.  Table S41.  Results of multivariable MR mediation analysis examining the effect of endometrial cancer with pairs of confirmed mediating molecular traits without BMI.  Table S42.  Results of multivariable MR mediation analysis examining the effect of BMI and endometrial cancer with all confirmed mediating molecular traits with BMI-adjusted fasting insulin.  Table S43.  Results of multivariable MR mediation analysis examining the effect of BMI and endometrial cancer with pairs of confirmed mediating molecular traits.  Table S44.  Results of multivariable MR mediation analysis examining the effect of BMI and endometrial cancer with all confirmed mediating molecular traits including fasting insulin adjusted for BMI with 100 SNPs from BMI instrument.  Table S45.  Results of multivariable MR mediation analysis examining the effect of BMI and endometrial cancer with pairs of confirmed mediating molecular traits with 100 SNPs from BMI instrument.  Table S46.  Results of multivariable MR mediation analysis examining the effect of endometrial cancer with all confirmed mediating molecular traits without BMI.  Table S47.  Results from sensitivity analyses examining the influence of Winner’s curse on GWAS with overlapping samples in analyses determining the interdependent effects of mediators of the relationship between BMI and endometrial cancer risk.  Table S48.  Results of HEIDI test-filtered low-density lipoprotein (LDL) cholesterol and overall endometrial cancer MR."
12916_2022_2322_MOESM2_ESM.csv,,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9017004/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9017004/bin/12916_2022_2322_MOESM2_ESM.csv,No Title,local-data,MOESM2,Additional file 2: Table S5.  Information on genetic variants included as instruments for traits.,Additional file 2: Table S5.  Information on genetic variants included as instruments for traits.
12916_2022_2322_MOESM3_ESM.pdf,,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9017004/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9017004/bin/12916_2022_2322_MOESM3_ESM.pdf,No Title,local-data,MOESM3,Additional file 3: Appendix S16.  STROBE-MR checklist of recommended items to address in reports of Mendelian randomization studies.,Additional file 3: Appendix S16.  STROBE-MR checklist of recommended items to address in reports of Mendelian randomization studies.
