link,content_type,dataset_identifier,data_repository,source_section,dataset_webpage,source_url,download_link,title,id,surrounding_text,description,file_extension
http://www.ebi.ac.uk/pride/archive/,data_link,PXD053567,http://www.ebi.ac.uk/pride/archive/,data availability,https://www.ebi.ac.uk/pride/archive/projects/PXD053567,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11252349/,,,,,,
41598_2024_67079_MOESM1_ESM.zip,local-data,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11252349/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11252349/bin/41598_2024_67079_MOESM1_ESM.zip,No Title,MOESM1,Supplementary Information.,Supplementary Information.,zip
41598_2024_67079_MOESM1_ESM.zip,local-data,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11252349/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11252349/bin/41598_2024_67079_MOESM1_ESM.zip,No Title,MOESM1,Supplementary Information.,Supplementary Information.,zip
https://pmc.ncbi.nlm.nih.gov/articles/instance/11425778/bin/NIHMS2020672-supplement-SI.pdf,,,,supplementary_data,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11425778/,,,,,,pdf
https://astrazenecagroup-dt.pharmacm.com/DT/Home,data_link,PXD052949,https://www.proteomexchange.org/,data availability,https://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD052949,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11320025/,,,,,,
https://www.proteomexchange.org/,data_link,PXD052949,https://www.proteomexchange.org/,data availability,https://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD052949,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11320025/,,,,,,
https://assays.cancer.gov/available_assays,data_link,PXD052949,https://www.proteomexchange.org/,data availability,https://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD052949,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11320025/,,,,,,
https://pmc.ncbi.nlm.nih.gov/articles/instance/11320025/bin/crc-24-0113_supplementary_methods_s1_suppsm1.pdf,,,,supplementary_data,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11320025/,,,,,,
https://pmc.ncbi.nlm.nih.gov/articles/instance/11320025/bin/crc-24-0113_supplementary_validation_data_s1_suppsd1.pdf,,,,supplementary_data,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11320025/,,,,,,
https://pmc.ncbi.nlm.nih.gov/articles/instance/11320025/bin/crc-24-0113_supplementary_validation_data_s2_suppsd2.pdf,,,,supplementary_data,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11320025/,,,,,,
https://pmc.ncbi.nlm.nih.gov/articles/instance/11320025/bin/crc-24-0113_supplementary_figure_s1_suppsf1.pdf,,,,supplementary_data,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11320025/,,,,,,
https://pmc.ncbi.nlm.nih.gov/articles/instance/11320025/bin/crc-24-0113_supplementary_figure_s2_suppsf2.pdf,,,,supplementary_data,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11320025/,,,,,,
https://pmc.ncbi.nlm.nih.gov/articles/instance/11320025/bin/crc-24-0113_supplementary_figure_s3_suppsf3.pdf,,,,supplementary_data,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11320025/,,,,,,
https://pmc.ncbi.nlm.nih.gov/articles/instance/11320025/bin/crc-24-0113_supplementary_figure_s4_suppsf4.pdf,,,,supplementary_data,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11320025/,,,,,,
https://pmc.ncbi.nlm.nih.gov/articles/instance/11320025/bin/crc-24-0113_supplementary_table_s1_suppst1.pdf,,,,supplementary_data,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11320025/,,,,,,
https://pmc.ncbi.nlm.nih.gov/articles/instance/11320025/bin/crc-24-0113_supplementary_table_s2_suppst2.pdf,,,,supplementary_data,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11320025/,,,,,,
https://pmc.ncbi.nlm.nih.gov/articles/instance/11320025/bin/crc-24-0113_supplementary_table_s3_suppst3.pdf,,,,supplementary_data,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11320025/,,,,,,
crc-24-0113_supplementary_methods_s1_suppsm1.pdf,local-data,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11320025/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11320025/bin/crc-24-0113_supplementary_methods_s1_suppsm1.pdf,No Title,No ID,"Supplementary Methods S1 
         
           Supplemental Materials and Methods concerning patient samples, cell lines, tissue culture, iMALDI-MS, Nano-LC-Orbitrap-MS, LC-MRM-MS","Supplemental Materials and Methods concerning patient samples, cell lines, tissue culture, iMALDI-MS, Nano-LC-Orbitrap-MS, LC-MRM-MS",pdf
crc-24-0113_supplementary_validation_data_s1_suppsd1.pdf,local-data,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11320025/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11320025/bin/crc-24-0113_supplementary_validation_data_s1_suppsd1.pdf,No Title,No ID,"Supplementary Validation Data S1 
         
           Supplementary Validation Data demonstrating the performance of the iMALDI-MS assay",Supplementary Validation Data demonstrating the performance of the iMALDI-MS assay,pdf
crc-24-0113_supplementary_validation_data_s2_suppsd2.pdf,local-data,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11320025/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11320025/bin/crc-24-0113_supplementary_validation_data_s2_suppsd2.pdf,No Title,No ID,"Supplementary Validation Data S2 
         
           Quality Assessment of the Global Proteomics Data",Quality Assessment of the Global Proteomics Data,pdf
crc-24-0113_supplementary_figure_s1_suppsf1.pdf,local-data,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11320025/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11320025/bin/crc-24-0113_supplementary_figure_s1_suppsf1.pdf,No Title,No ID,"Supplementary Figure S1 
         
           Individual protein concentrations measured by iMALDI-MS for each sample, comparison of measured PTEN concentration to IHC H-score","Individual protein concentrations measured by iMALDI-MS for each sample, comparison of measured PTEN concentration to IHC H-score",pdf
crc-24-0113_supplementary_figure_s2_suppsf2.pdf,local-data,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11320025/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11320025/bin/crc-24-0113_supplementary_figure_s2_suppsf2.pdf,No Title,No ID,"Supplementary Figure S2 
         
           Individual protein concentrations measured by iMALDI-MS for PTEN vs. IHC H-score",Individual protein concentrations measured by iMALDI-MS for PTEN vs. IHC H-score,pdf
crc-24-0113_supplementary_figure_s3_suppsf3.pdf,local-data,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11320025/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11320025/bin/crc-24-0113_supplementary_figure_s3_suppsf3.pdf,No Title,No ID,"Supplementary Figure S3 
         
           Comparison of iMALDI and Global Proteomics results for primary vs metastatic samples",Comparison of iMALDI and Global Proteomics results for primary vs metastatic samples,pdf
crc-24-0113_supplementary_figure_s4_suppsf4.pdf,local-data,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11320025/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11320025/bin/crc-24-0113_supplementary_figure_s4_suppsf4.pdf,No Title,No ID,"Supplementary Figure S4 
         
           Combination treatment of cell lines with capivasertib and an eIF2α inhibitor",Combination treatment of cell lines with capivasertib and an eIF2α inhibitor,pdf
crc-24-0113_supplementary_table_s1_suppst1.pdf,local-data,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11320025/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11320025/bin/crc-24-0113_supplementary_table_s1_suppst1.pdf,No Title,No ID,"Supplementary Table S1 
         
           Detailed results of the label-free quantitation",Detailed results of the label-free quantitation,pdf
crc-24-0113_supplementary_table_s2_suppst2.pdf,local-data,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11320025/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11320025/bin/crc-24-0113_supplementary_table_s2_suppst2.pdf,No Title,No ID,"Supplementary Table S2 
         
           Proteins expression differences between capivasertib-resistant vs. capivasertib-sensitive cells quantified by validated MRM-MS assays as compared to the profile observed in patient samples",Proteins expression differences between capivasertib-resistant vs. capivasertib-sensitive cells quantified by validated MRM-MS assays as compared to the profile observed in patient samples,pdf
crc-24-0113_supplementary_table_s3_suppst3.pdf,local-data,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11320025/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11320025/bin/crc-24-0113_supplementary_table_s3_suppst3.pdf,No Title,No ID,"Supplementary Table S3 
         
           Detailed results of pathway mapping by Qiagen IPA",Detailed results of pathway mapping by Qiagen IPA,pdf
crc-24-0113_supplementary_methods_s1_suppsm1.pdf,local-data,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11320025/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11320025/bin/crc-24-0113_supplementary_methods_s1_suppsm1.pdf,No Title,No ID,"Supplementary Methods S1 
         
           Supplemental Materials and Methods concerning patient samples, cell lines, tissue culture, iMALDI-MS, Nano-LC-Orbitrap-MS, LC-MRM-MS","Supplemental Materials and Methods concerning patient samples, cell lines, tissue culture, iMALDI-MS, Nano-LC-Orbitrap-MS, LC-MRM-MS",pdf
crc-24-0113_supplementary_validation_data_s1_suppsd1.pdf,local-data,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11320025/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11320025/bin/crc-24-0113_supplementary_validation_data_s1_suppsd1.pdf,No Title,No ID,"Supplementary Validation Data S1 
         
           Supplementary Validation Data demonstrating the performance of the iMALDI-MS assay",Supplementary Validation Data demonstrating the performance of the iMALDI-MS assay,pdf
crc-24-0113_supplementary_validation_data_s2_suppsd2.pdf,local-data,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11320025/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11320025/bin/crc-24-0113_supplementary_validation_data_s2_suppsd2.pdf,No Title,No ID,"Supplementary Validation Data S2 
         
           Quality Assessment of the Global Proteomics Data",Quality Assessment of the Global Proteomics Data,pdf
crc-24-0113_supplementary_figure_s1_suppsf1.pdf,local-data,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11320025/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11320025/bin/crc-24-0113_supplementary_figure_s1_suppsf1.pdf,No Title,No ID,"Supplementary Figure S1 
         
           Individual protein concentrations measured by iMALDI-MS for each sample, comparison of measured PTEN concentration to IHC H-score","Individual protein concentrations measured by iMALDI-MS for each sample, comparison of measured PTEN concentration to IHC H-score",pdf
crc-24-0113_supplementary_figure_s2_suppsf2.pdf,local-data,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11320025/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11320025/bin/crc-24-0113_supplementary_figure_s2_suppsf2.pdf,No Title,No ID,"Supplementary Figure S2 
         
           Individual protein concentrations measured by iMALDI-MS for PTEN vs. IHC H-score",Individual protein concentrations measured by iMALDI-MS for PTEN vs. IHC H-score,pdf
crc-24-0113_supplementary_figure_s3_suppsf3.pdf,local-data,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11320025/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11320025/bin/crc-24-0113_supplementary_figure_s3_suppsf3.pdf,No Title,No ID,"Supplementary Figure S3 
         
           Comparison of iMALDI and Global Proteomics results for primary vs metastatic samples",Comparison of iMALDI and Global Proteomics results for primary vs metastatic samples,pdf
crc-24-0113_supplementary_figure_s4_suppsf4.pdf,local-data,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11320025/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11320025/bin/crc-24-0113_supplementary_figure_s4_suppsf4.pdf,No Title,No ID,"Supplementary Figure S4 
         
           Combination treatment of cell lines with capivasertib and an eIF2α inhibitor",Combination treatment of cell lines with capivasertib and an eIF2α inhibitor,pdf
crc-24-0113_supplementary_table_s1_suppst1.pdf,local-data,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11320025/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11320025/bin/crc-24-0113_supplementary_table_s1_suppst1.pdf,No Title,No ID,"Supplementary Table S1 
         
           Detailed results of the label-free quantitation",Detailed results of the label-free quantitation,pdf
crc-24-0113_supplementary_table_s2_suppst2.pdf,local-data,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11320025/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11320025/bin/crc-24-0113_supplementary_table_s2_suppst2.pdf,No Title,No ID,"Supplementary Table S2 
         
           Proteins expression differences between capivasertib-resistant vs. capivasertib-sensitive cells quantified by validated MRM-MS assays as compared to the profile observed in patient samples",Proteins expression differences between capivasertib-resistant vs. capivasertib-sensitive cells quantified by validated MRM-MS assays as compared to the profile observed in patient samples,pdf
crc-24-0113_supplementary_table_s3_suppst3.pdf,local-data,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11320025/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11320025/bin/crc-24-0113_supplementary_table_s3_suppst3.pdf,No Title,No ID,"Supplementary Table S3 
         
           Detailed results of pathway mapping by Qiagen IPA",Detailed results of pathway mapping by Qiagen IPA,pdf
https://pmc.ncbi.nlm.nih.gov/articles/PMC11066909/#CIT0028,,,,data_availability,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11066909/,,,,,,
https://pmc.ncbi.nlm.nih.gov/articles/instance/11066909/bin/noad265_suppl_supplementary_figure_s1.jpeg,,,,supplementary_data,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11066909/,,,,,,
https://pmc.ncbi.nlm.nih.gov/articles/instance/11066909/bin/noad265_suppl_supplementary_figure_s2.jpeg,,,,supplementary_data,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11066909/,,,,,,
https://pmc.ncbi.nlm.nih.gov/articles/instance/11066909/bin/noad265_suppl_supplementary_figure_s3.jpeg,,,,supplementary_data,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11066909/,,,,,,
https://pmc.ncbi.nlm.nih.gov/articles/instance/11066909/bin/noad265_suppl_supplementary_figure_s4.jpeg,,,,supplementary_data,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11066909/,,,,,,
https://pmc.ncbi.nlm.nih.gov/articles/instance/11066909/bin/noad265_suppl_supplementary_figure_s5.jpeg,,,,supplementary_data,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11066909/,,,,,,
https://pmc.ncbi.nlm.nih.gov/articles/instance/11066909/bin/noad265_suppl_supplementary_figure_s6.jpeg,,,,supplementary_data,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11066909/,,,,,,
https://pmc.ncbi.nlm.nih.gov/articles/instance/11066909/bin/noad265_suppl_supplementary_figure_s7.jpeg,,,,supplementary_data,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11066909/,,,,,,
https://pmc.ncbi.nlm.nih.gov/articles/instance/11066909/bin/noad265_suppl_supplementary_figure_s8.jpeg,,,,supplementary_data,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11066909/,,,,,,
https://pmc.ncbi.nlm.nih.gov/articles/instance/11066909/bin/noad265_suppl_supplementary_table_s1.xlsx,,,,supplementary_data,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11066909/,,,,,,
https://pmc.ncbi.nlm.nih.gov/articles/instance/11066909/bin/noad265_suppl_supplementary_table_s2.xlsx,,,,supplementary_data,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11066909/,,,,,,
https://pmc.ncbi.nlm.nih.gov/articles/instance/11066909/bin/noad265_suppl_supplementary_table_s3.xlsx,,,,supplementary_data,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11066909/,,,,,,
https://pmc.ncbi.nlm.nih.gov/articles/instance/11066909/bin/noad265_suppl_supplementary_table_s4.xlsx,,,,supplementary_data,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11066909/,,,,,,
https://pmc.ncbi.nlm.nih.gov/articles/instance/11066909/bin/noad265_suppl_supplementary_table_s5.xlsx,,,,supplementary_data,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11066909/,,,,,,
https://pmc.ncbi.nlm.nih.gov/articles/instance/11066909/bin/noad265_suppl_supplementary_table_s6.xlsx,,,,supplementary_data,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11066909/,,,,,,
https://pmc.ncbi.nlm.nih.gov/articles/instance/11066909/bin/noad265_suppl_supplementary_table_s7.xlsx,,,,supplementary_data,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11066909/,,,,,,
noad265_suppl_supplementary_figure_s1.jpeg,local-data,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11066909/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11066909/bin/noad265_suppl_supplementary_figure_s1.jpeg,No Title,sup1,noad265_suppl_Supplementary_Figure_S1,No description,jpeg
noad265_suppl_supplementary_figure_s2.jpeg,local-data,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11066909/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11066909/bin/noad265_suppl_supplementary_figure_s2.jpeg,No Title,sup2,noad265_suppl_Supplementary_Figure_S2,No description,jpeg
noad265_suppl_supplementary_figure_s3.jpeg,local-data,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11066909/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11066909/bin/noad265_suppl_supplementary_figure_s3.jpeg,No Title,sup3,noad265_suppl_Supplementary_Figure_S3,No description,jpeg
noad265_suppl_supplementary_figure_s4.jpeg,local-data,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11066909/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11066909/bin/noad265_suppl_supplementary_figure_s4.jpeg,No Title,sup4,noad265_suppl_Supplementary_Figure_S4,No description,jpeg
